ID,Ascribed period,Type,Loop shape,Site Type (Primary),Loop?,Feet?,Material,Clapper?,Lat (Y),Long (X),Site Name,Site Type (Specific),County,Decoration?,Published in,Max Diameter (mm),Min Diameter (mm),Max Height (mm),Additional Information,Manufacture,Dating Info,Description
55,Roman,Domed,Circular,Large town,TRUE,FALSE,Cu alloy,FALSE,51.8917,0.903,Colchester,,Essex,FALSE,"Green 1975, 66, fig. 5.57",-,-,-,Stray find from within colonia,Cast,-,"No description recorded. Image indicates a small domed bell, with a circular suspension loop which has a small circular aperture. Clapper seems to be missing."
56,Roman,Domed,Circular,Large town,TRUE,FALSE,Cu alloy,FALSE,51.8917,0.903,Colchester,Burial,Essex,FALSE,"Green 1975: 66, fig. 5. 58",-,-,-,From grave outside colonia,Cast,-,"No description recorded. Image indicates a small domed bell, with a circular suspension loop which has a small circular aperture. Clapper seems to be missing."
57,Roman,Domed,Circular,Large town,TRUE,FALSE,Cu alloy,TRUE,51.8917,0.903,Colchester,Burial,Essex,TRUE,"Crummy 1983: 51, Fig. 54.1811",18,-,-,"Grave G278, period 2. Found, alongside other objects, in a ?purse.",Cast,early 4th C,"Domed. The rim has a small crack in one place, but the bell is otherwise complete. Decorated with two pairs of circumferential incised lines, one pair near the rim of the bell, the other pair at the shoulder of the dome. The suspension loop is wire, circu"
58,Roman,Domed,Circular,Large town,TRUE,FALSE,Cu alloy,TRUE,51.8917,0.903,Colchester,Burial,Essex,TRUE,"Crummy 1983: 51, Fig. 41.1610",23.5,-,-,"Grave G1, period 2.",Cast,4th C,"Small, domed bell, circular in plan. The bell is suspended from a two-strand cable armlet, which also passes through a bead of a similar size to the bell. The circular suspension loop appears to be formed of wire, and the wire armlet passes through this l"
101,Roman,Conical,Squared,Large town,TRUE,TRUE,Cu alloy,FALSE,51.8917,0.903,Colchester,,Essex,TRUE,"Crummy 1983: 127, Fig. 143.4168",23.5,-,23,Unstratified.,Cast,-,"Incomplete. Conical bell with part of the body missing. Three lugs (originally there were four) survive around the rim. Slightly squared, very worn suspension loop with a circular aperture. Clapper missing. Image indicates two parallel, circumferential in"
284,Roman,Unknown,,Large town,FALSE,FALSE,Cu alloy,FALSE,51.8917,0.903,Colchester,Burial,Essex,FALSE,"Crummy 2010, 47; Crummy et al. 1993, 155",,,,"Grave G94. 2 bells on iron chain, at west end of coffin and therefore prob. near the head",Cast,mid 4th C,Assumed to be domed copper-alloy; see microfiche 1983
285,Roman,Unknown,,Large town,FALSE,FALSE,Cu alloy,FALSE,51.8917,0.903,Colchester,Burial,Essex,FALSE,"Crummy 2010, 47; Crummy et al. 1993, 155",,,,"Grave G94. 2 bells on iron chain, at west end of coffin and therefore prob. near the head",Cast,mid 4th C,Assumed to be domed copper-alloy; see microfiche 1983
282,Roman,Miscellaneous,Rounded?,Rural,TRUE,FALSE,Cu alloy,FALSE,51.148,-2.197,Cold Kitchen Hill,Temple,Wiltshire,FALSE,http://www.wiltshireheritagecollections.org.uk/index.asp?page=image&mwsquery={Identity number}={DZSWS:2004.240.2},24,,33,"A conical to domed bell with a lion's head in relief on one side. DZSWS:2004.240.2, excavated by Mr R. Nan Kivell, 1924-6",Cast,,"A conical to domed bell with a lion's head in relief on one side. DZSWS:2004.240.2, excavated by Mr R. Nan Kivell, 1924-6"
283,Roman,Miscellaneous,Other,Rural,TRUE,FALSE,Cu alloy,FALSE,51.148,-2.197,Cold Kitchen Hill,Temple,Wiltshire,FALSE,http://www.wiltshireheritagecollections.org.uk/index.asp?page=image&mwsquery={Identity number}={DZSWS:2004.240.1},20,,30,"Highly unusual bell, with the upper part decorated in relief with two bodies? DZSWS:2004.240.1, excavated by Mr R. Nan Kivell, 1924-6",Cast,,"Highly unusual bell, with the upper part decorated in relief with two bodies? The loop does not appear to be pierced? DZSWS:2004.240.1, excavated by Mr R. Nan Kivell, 1924-6"
168,?Roman,Quadrangular,Pentagonal,Rural,TRUE,TRUE,Cu alloy,FALSE,53.8554,-2.1756,Colne,PAS,Cambridgeshire,FALSE,PAS: CAM-7E65D5,26.24,-,48.66,-,Cast,-,"Incomplete. About half of a four-sided pyramidal bell. Only one full surface survives, the suspension loop and less than half of the two adjoining surfaces. The suspension loop band is 4.35mm wide, and is pentagonal in shape with an oval aperture. At the "
180,Roman,Openwork,Circular,Rural,TRUE,FALSE,Cu alloy,FALSE,52.78187,0.53992,Congham,PAS,Norfolk,FALSE,PAS: NMS-E88365,-,-,-,-,Cast,-,"Incomplete. Hemispherical bell with an incomplete suspension loop, missing base and remains of an iron staple on the interior. The sides are decorated with a ring of ten triangular apertures, set alternatively with the apex upwards and downwards. A lower "
17,Roman,Shouldered,Squared,Military/Town,TRUE,FALSE,Cu alloy,FALSE,54.975,-2.017,Corbridge,?Temple,Northumberland,FALSE,"Bishop & Dore 1988: 170, Fig. 80.90",19,-,12,From Site 44 (Temple 3),Cast,AD 86-163,"Incomplete. Although most of the chamber of the bell is missing, enough remains to indicate the bell was circular in plan, with a straight side terminating in a shoulder, then tapering to a squared suspension loop.  A hole across the top retains fragments"
59,Roman,Domed,Pentagonal,Military/Town,TRUE,FALSE,Cu alloy,FALSE,54.975,-2.017,Corbridge,,Northumberland,TRUE,"Bishop & Dore 1988: 170, Fig. 80.88",35,-,25,BC52,Cast,-,"Incomplete, part of the wall is truncated. Two lightly incised lines near the loop. The suspension loop is pentagonal, with an oval aperture. Most of the clapper is missing but corrosion traces suggest it was of iron."
60,Roman,Domed,Circular,Military/Town,TRUE,FALSE,Cu alloy,FALSE,54.975,-2.017,Corbridge,,Northumberland,TRUE,"Bishop & Dore 1988: 170, Fig. 80.89",55,-,-,DT52,Cast,-,"Fragmentary. Three fragments of a bell, which was probably domed. One fragment consists of the apex of the bell and suspension loop, which is circular in shape with a large circular aperture. The other two fragments are from the rim and some of the sides."
61,Roman,Fragment,-,Military/Town,FALSE,FALSE,Cu alloy,FALSE,54.975,-2.017,Corbridge,,Northumberland,TRUE,"Bishop & Dore 1988: 173, Fig. 82.110",50,-,-,HS70,Cast,-,"Fragment, possbily from the body of a bell. There are two widely spaced incised lines running across the face."
272,Roman,Quadrangular,Hexagonal,Rural,TRUE,TRUE,Cu alloy,FALSE,50.9698,-3.0908,Corfe,PAS,Somerset,FALSE,PAS: LEIC-875533,32,-,49,-,Cast,-,"Four-sided pyramidal bell, which is square in section. Each of the four corners extends into a small circular foot. It has an integral hexagonal suspension loop, with a circular aperture, as well as an inner one for the clapper, which is missing. Image in"
92,Roman,Domed,Squared,Military,TRUE,FALSE,Cu alloy,FALSE,55.036,-2.223,Coventina's Well,Shrine,Northumberland,TRUE,"Allason-Jones & McKay 1985: 28, Fig. 67",74,-,64,"From the well to the goddess Coventina. From AD 133, with a peak in late 2nd/early 3rd C, end in late 4th C",Cast," From AD 133 to 4th c, probably late 2nd/early 3rd","Domed bell. Squared / semi-circular suspension loop with a semi-circular aperture. The handle of the loop is also pierced by two small oval holes. Traces of the iron clapper survive on the inner surface. The bell is decorated with a series of incised, cir"
93,Roman,Domed,-,Military,FALSE,FALSE,Cu alloy,TRUE,55.036,-2.223,Coventina's Well,Shrine,Northumberland,TRUE,"Allason-Jones & McKay 1985: 28, Fig. 66",64.5,-,41,From the well to the goddess Coventina,Cast," From AD 133 to 4th c, probably late 2nd/early 3rd","Incomplete. Domed bell missing a suspension loop. Body decorated with a pair of incised parallel lines around the rim and another single line around the shoulder. Corroded iron clapper surivives in situ within the bell, protruding slightly below the rim."
134,Roman,Conical,Pentagonal,Rural,TRUE,TRUE,Cu alloy,FALSE,51.109167,-0.187222,Crawley,PAS,Hampshire,FALSE,PAS: HAMP-ADCEE3,29.3,-,47.8,-,Cast,-,"Incomplete. A worn and corroded bell of probable Roman date, with an uneven and broken rim. Pyramidal in form and square in plan. At the apex of the pyramidal body is an integrally cast pentagonal suspension loop, which has a circular aperture. From this,"
212,Roman,Unknown,Unclear,Rural,TRUE,FALSE,Cu alloy,FALSE,52.567106,1.026074,Deopham,PAS,Norfolk,FALSE,PAS: NMS-80BCBB,-,-,13,-,Cast,-,No image. Description from PAS as follows: 'Upper part of a Roman copper alloy pendent clapper bell with an oval aperture (6 x 4mm) in the suspension loop. Small fragments of iron remain in the scar left by the loss of the crown staple.'
62,Roman,Domed,Oval,Other,TRUE,FALSE,Cu alloy,FALSE,53.636855,-0.602476,Dragonby,Small Town?,Lincolnshire,TRUE,"May 1996: 281, Fig. 11.29",-,-,-,From lower occupation level in SE corner of Site 1. Found alongside later Romano-British artefacts including a coin of Gallienus.,Cast,?Later 3rd C?,"Domed and circular in plan. Worn suspension loop, which was probably oval or circular in shape, with an oval aperture. Image indicates a pair of circumferential incised lines below the suspension loop. No clapper recorded."
225,Roman - Late Medieval,Conical,Circular,Rural,TRUE,FALSE,Cu alloy,FALSE,51.633,-1.405,East Hanney,PAS,Oxfordshire,TRUE,PAS: BERK-B87E81,-,-,4.5,-,-,-,"Circular in plan. Circular suspension loop with a small, circular aperture. Although the surface of the bell is worn and slightly pitted, there is evidence of a raised rim running around the circumference of the bell, a few millimetres from the rim, but n"
231,Roman,Quadrangular,Pentagonal,Rural,TRUE,TRUE,,FALSE,53.039,-0.878,East Stoke,PAS,Nottinghamshire,FALSE,PAS: LVPL-519AA3,46.12,16.01,46.45,-,Cast,-,"Four-sided bell, with a mouth which is rectangular in plan.  It has a ?pentagonal suspension loop set perpendicular, which has a circular aperture. At the corners of the bell are four small semi-circular protrusions, forming four feet. No clapper recorded"
242,Roman,Domed,Unclear,Rural,TRUE,FALSE,Cu alloy,FALSE,52.71792,0.50738,East Winch,PAS,Norfolk,FALSE,PAS: NMS-CDC7A5,27,-,15,-,Cast,-,"Domed bell. The body is much greater in diameter (27mm) than height (12mm without suspension loop). The shape of the suspension loop is not clear from the image or description on PAS, but is intact. Image suggests that on the interior of the bell, at the "
153,?Roman,Domed,Hexagonal,Rural,TRUE,FALSE,Cu alloy,FALSE,51.8653,-0.5872,Edlesborough,PAS,Buckinghamshire,FALSE,PAS: BUC-31AFD5 - but link nolonger active,18.95,-,18.65,-,Cast,-,"No PAS Description. Small domed cu-al cast Roman bell. Excellent preservation on outer surface. Retains no clapper, but a small quantity of iron residue remains on the internal apex surface, as do two tiny sections of the crown staple. Complete hexagonal "
269,Roman,Openwork,Oval,Rural,TRUE,FALSE,Cu alloy,FALSE,51.621,-1.071,Ewelme,PAS,Oxfordshire,FALSE,PAS: LVPL-1344,-,-,30,-,Cast,-,Incomplete. Image suggests it is slightly squashed and the rim is worn. Conical / domed bell with alternating triangular and sub-triangular cut-outs in the body of the bell - number not clear from image or description on PAS. The suspension loop is oval /
127,Roman,Conical,-,Rural,FALSE,FALSE,Cu alloy,FALSE,53.969524,-0.833846,Fangfoss,PAS,East Riding of Yorkshire,TRUE,PAS: YORYM-A3A854,26.9,-,26.9,-,Cast,-,"Incomplete conical bell. It has a wide circular base which tapers to a pointed apex. The suspension loop has been broken off, and only a small portion remains attached to the apex. Much of the rim of the bell has been lost, although an incised circumferen"
169,Roman,Domed,Circular,Rural,TRUE,FALSE,Cu alloy,FALSE,52.167,-1.39,Fenny Compton,PAS,Warwickshire,TRUE,PAS: BERK-70FF03,27.58,-,33.34,-,Cast,-,"Incomplete. One side of the suspension loop is missing, and was probably original circular in shape with a large circular aperture. Half of the crown of the bell is also broken and missing. The bell is decorated with a double concentric ring around its wa"
182,Roman,Openwork,Sub-triangular,Rural,TRUE,FALSE,Cu alloy,FALSE,52.6301,0.48826,Fincham,PAS,Norfolk,FALSE,PAS: NMS-E837B5,22,-,35,-,Cast,-,"Slightly squashed, conical in form. Sub-triangular suspension loop which has a central circular aperture. There are the corrosion remains of an iron crown staple. The sides are decorated with two rows of alternating triangular and sub-triangular apertures"
247,Roman,Domed,Unclear,Rural,TRUE,FALSE,Cu alloy,FALSE,52.6301,0.48826,Fincham,PAS,Norfolk,TRUE,PAS: NMS-F33966,15,-,17,-,-,-,"Conical bell with very slighlty convex sides. The shape of the suspension loop is not clear from the image or description on PAS, but is in-tact. The aperture is filled with iron corrosion. On the interior of the bell there is much internal corrosion with"
204,Roman,Quadrangular, Hexagonal,Rural,TRUE,FALSE,Cu alloy,TRUE,51.361,-0.86,Finchampstead,PAS,Berkshire,FALSE,PAS: SUR-E23AFD,28.05,-,40.35,-,Cast,-,"Incomplete. Worn, with the rim mostly or completely missing. Square in plan with a hexagonal suspension loop, which has a circular aperture. Retains the remains of an iron 'clapper'."
33,Roman,Quadrangular,Hexagonal,Villa,TRUE,TRUE,Cu alloy,FALSE,50.8366,-0.8103,Fishbourne,,West Sussex,FALSE,"Cunliffe 1971: 112, Fig. 46.107",-,-,-,"1st period level (period includes military store base, workshop/ timber-framed residence and proto-palace)",Cast,Period 1 = AD43 - 75/80,"Four-sided pyramidal bell, with a knobbed lug at each of the four corners. The hexagonal suspension loop has a circular aperture. No clapper recorded."
63,Roman,Domed,Hexagonal,Villa,TRUE,TRUE,Cu alloy,FALSE,50.8366,-0.8103,Fishbourne,,West Sussex,FALSE,"Cunliffe 1971: 112, Fig. 46.106",-,-,-,"1st period level (period includes military store base, workshop/ timber-framed residence and proto-palace)",Cast,Period 1 = AD43 - 75/80,"Domed. Image indicates at least three small lugs on the rim, forming feet. Hexagonal suspension loop with circular aperture. No clapper recorded."
64,Roman,Domed,Unclear,Villa,TRUE,TRUE,Cu alloy,FALSE,50.8366,-0.8103,Fishbourne,,West Sussex,FALSE,"Cunliffe, Down & Rudkin 1997: 196, Fig. 6.35.3",-,-,-,-,Cast,-,"Incomplete. Image indicates the surface of the bell is chipped in several places, and part of the rim is cracked. Suspension loop is heavily chipped, but was probably oval in shape with a small ovate aperture. Traces of iron clapper inside."
94,Roman,Domed,Hexagonal,Villa,TRUE,FALSE,Cu alloy,FALSE,50.8366,-0.8103,Fishbourne,,West Sussex,TRUE,Cunliffe 1971: 112,-,-,-,"1st period level (period includes military store base, workshop/ timber-framed residence and proto-palace)",Cast,Period1 = AD43 - 75/80,"Incomplete. A short section of the rim is truncated. Hexagonal suspension loop with circular aperture. Bell retains its internal hook, to which the presumably now missing clapper would have been attached. Image indicates that two incised grooves encircle "
112,Roman,Miscellaneous,-,Villa,FALSE,FALSE,Cu alloy,FALSE,50.8366,-0.8103,Fishbourne,,West Sussex,FALSE,Cunliffe 1971: 112,-,-,-,-,Cast,-,
97,-,Domed and Lipped,Circular,Villa,TRUE,FALSE,Cu alloy,FALSE,51.72,-2.31,Frocester,,Gloucestershire,FALSE,"Price 2000: 57, Fig. 2.14.353",-,-,-,Recovered from ploughsoil.,Cast,-,"Domed bell with a lip. It has been squashed and the shape distorted, but would have originally been circular in plan. Circular suspension loop and large circular aperture. Interior of the bell seems to be tinned. No clapper recorded."
113,Roman,Iron,Squared,Villa,TRUE,FALSE,Iron,TRUE,51.72,-2.31,Frocester,,Gloucestershire,FALSE,"Price 2000: 67, Fig. 3.2.49/a",-,-,-,-,,Mid-late 4th cent. AD,"Complete. Four-sided bell with a mouth which is rectangular in plan. The bell has a square sectioned bar-clapper on the interior. The clapper is attached to a retangular ring, which protrudes through the crown of the bell to form a squared suspension loop"
114,Roman,Miscellaneous,-,Villa,FALSE,FALSE,Cu alloy,FALSE,51.72,-2.31,Frocester,,Gloucestershire,FALSE,"Price 2000: 57, Fig. 2.14",30,-,48,-,Cast,-,
158,?Roman,Domed and Lipped,Circular,Rural,TRUE,FALSE,Cu alloy,FALSE,53.240393,-0.056914,Fulletby,PAS,Lincolnshire,TRUE,PAS: DENO-281EF3,34.5,-,35.5,-,Cast,-,"Domed bell, casting line running from side to side. Integrally cast circular suspension loop at apex with faint double groove running transversely across it at its junction with the bell on one side only. Raised ridge running around the base, c.3mm from t"
65,Medieval - Post-Medieval,Domed,Hook,Villa,TRUE,FALSE,Cu alloy,TRUE,51.762,-0.478,Gadebridge Park,,Hertfordshire,FALSE,Neal 1974: 83,19,-,-,Found in topsoil,Cast,-,"Domed bell with a rounded boss, which is pierced by a small circular aperture. A short bronze hook passes through this aperture, and is attached to an iron clapper which has survived. Interpreted as a horse bell, and being of Medieval or Post-Medieval dat"
245,Roman,Domed and Lipped,Circular,Rural,TRUE,FALSE,Cu alloy,TRUE,52.744,0.557,Gayton,PAS,Norfolk,FALSE,PAS: NMS-1BD971,23,-,13,-,-,-,"Complete. Domed bell, but flaring outwards towards the rim. The clapper, of square section with a groove down one face, is suspended from a wire loop which passes through a perforation in the crown (this forms the suspension loop). The clapper is very lon"
177,Roman,Conical,Circular,Rural,TRUE,FALSE,Cu alloy,FALSE,52.084,1.51,Gedgrave,PAS,Suffolk,TRUE,PAS: SF-6F3793,25.32,-,31.11,-,Cast,-,"Conical bell of probable Roman date. It is missing the iron clapper and parts of the rim due to old breaks, but is otherwise complete. It is oval shaped in plan, with slightly faceted sides giving an almost rectangular appearance. The rim has moulded deco"
210,Roman,Quadrangular,Pentagonal,Rural,TRUE,TRUE,Cu alloy,FALSE,52.166667,-3.233333,Glascwm,PAS,Powys,FALSE,PAS: WAW-EB5D20,33.7,-,52.17,-,Cast,-,"Incomplete. Originally had a square section, but only one face is complete, with traces of two other faces. The breaks are recent. The exterior surface is a shiny mottled dark greeny brown colour with traces of a vertical casting seam and fine file marks."
171,Roman - Early Medieval,Fragment,Circular,Rural,TRUE,FALSE,Cu alloy,FALSE,50.8122,-0.42436,Goring-by-Sea,PAS,West Sussex,FALSE,PAS: SUSS-B13B27,14.4,-,17.9,-,Cast,-,"Fragment, consisting of a circular suspension loop, with a large circular aperture, attached to the rounded top of a hemispherical bell. The lower edges of the hemisphere are irregular suggesting old breaks, and the sides probably projected down into a co"
192,Early Medieval,Openwork,Pentagonal,Rural,TRUE,FALSE,Cu alloy,FALSE,52.267,0.767,Great Barton,PAS,Suffolk,TRUE,PAS: SF-A755C5,22.78,-,33.46,-,Cast,Ascribed date of AD 900 - 1066,"Incomplete. Conical in form, hollow and slightly flattened due to post-depositional damage. At the apex of the bell is an integrally cast suspension loop that is flat, pentagonal and has a central circular perforation. The conical body has openwork decora"
174,?Roman,Openwork,?Pentagonal,Rural,TRUE,FALSE,Cu alloy,FALSE,52.697115,0.770711,Great Dunham,PAS,Norfolk,FALSE,PAS: NMS-99EFB3,22.5,-,27.5,-,Cast,-,"Conical bell with an irregular ?pentagonal suspension loop, with a circular aperture. The body of the bell is pierced with six triangular apertures. No clapper recorded, but the bell retains evidence of an iron crown staple."
217,Roman,Unknown,-,Rural,FALSE,FALSE,Cu alloy,FALSE,52.697115,0.770711,Great Dunham,PAS,Norfolk,FALSE,PAS: NMS-B5EDC1,-,-,23,-,-,-,"No image. Description from PAS as follows: 'Incomplete and partly squashed Roman small copper alloy clapper bell with remains of an iron crown staple. Part of the suspension loop, the clapper and all of the mouth are missing. Distortion prevents identific"
142,Roman,Conical,Squared,Rural,TRUE,FALSE,Cu alloy,FALSE,52.434,-0.358,Great Gidding,PAS,Cambridgeshire,FALSE,PAS: DUR-A13623,35.74,-,29.16,-,Cast,-,"Incomplete, as part of the rim and body is missing. There is a squared suspension loop with a circular aperture projecting from the apex. The interior of the bell is undecorated and the clapper no longer remains. The metal is a mid blackish-brown colour w"
220,Roman,Unknown,Unclear,Rural,TRUE,FALSE,Cu alloy,FALSE,52.204037,1.424003,Great Glemham,PAS,Suffolk,FALSE,PAS: SF-7DC264,43.5,31.55,25.28,-,-,-,"Incomplete. Post-depositional damage has left the bell partially flattened, missing much of one side and the outer rim. The suspension loop, now flattened against the upper surface of the bell, extended through an aperture at the apex with both ends in th"
290,,Openwork,?rectangular,Rural,TRUE,FALSE,Cu alloy,FALSE,52.0558,0.77462,Great Waldingfield,PAS,Suffolk,FALSE,PAS: SF5439,,,25,,Cast,,"Alternating triangles, perhaps originally eight, three survive;  two more apex-down triangles (both now blocked with iron corrosion) at the top of the bell"
270,Roman,Openwork,Squared,Rural,TRUE,FALSE,Cu alloy,FALSE,53.5595,-0.068,Grimsby,PAS,North Yorkshire,FALSE,PAS: NLM-7188,26.5,-,27.6,-,Cast,-,"No image. Description from PAS as follows: 'Round body which tapers towards the top and terminates in a square loop, the top of which his broken off, eight cut alternating triangles running around the outside. Evidence for iron residue on the inside.'"
226,Roman,Unknown,Unclear,Rural,TRUE,FALSE,Cu alloy,FALSE,51.612,-1.421,Grove,PAS,Oxfordshire,FALSE,PAS: BERK-27A104,29.6,-,30.08,-,-,-,"No image. Description from PAS as follows: 'A copper alloy Roman bell. Conical rounded loop, circular perforation, concentric mould around base of bell. Clapper missing. Handle 9mm wide, 2.5mm thick and 7mm high.'"
293,Roman,Domed,?Hexagonal,Rural,TRUE,FALSE,Cu alloy,FALSE,52.081,-0.133,Guilden Morden,Burial,Cambridgeshire,FALSE,"Lethbridge 1934, 119, pl. Xc",,,,Grave 6; bell and 2 bronze beads apparently hung on wrist,Cast,,"Domed, with ?hexagonal loop; moulding/incision towards base; signifiant interior iron corrosion"
211,Roman,Conical,Pentagonal,Rural,TRUE,FALSE,Cu alloy,FALSE,50.902,-2.021,Gussage St Michael,PAS,Dorset,FALSE,PAS: DOR-902E80,23.93,-,27.16,-,-,-,"Circular in plan, though slightly distorted. A worn lozengiform suspension loop projects from the top, with a circular aperture. The interior of the bell features traces of iron staining indicating the missing clapper."
10,?Roman,Shouldered,Hexagonal,Small town,TRUE,FALSE,Cu alloy,FALSE,52.183,1.375,Hacheston,,Suffolk,FALSE,"Blagg, Plouviez & Tester 2004: 116, Fig. 76.87",16,-,15,SF2559. From Field 2.,Cast,,"Circular in plan, although it has been bent and distorted. The sides of the bell slope to the apex. The suspension loop is worn, but retains its hexagonal shape and has a circular aperture. Inside the bell is iron residue from the now missing clapper."
11,?Roman,Shouldered,-,Rural,FALSE,FALSE,Cu alloy,TRUE,52.358,0.149,Haddenham,Shrine complex,Cambridgeshire,FALSE,"Evans & Hodder 2006: 358-9, Figs. 7.29.1, 7.29.2",40,-,31,-,Cast,-,"Incomplete. The sides of the bell slope from the lip to a sharp, angular shoulder, with a rounded boss on this step. No suspension loop. Found with a fragmentary iron clapper, separate."
12,Roman,Shouldered,-,Villa,FALSE,FALSE,Cu alloy,FALSE,51.5718,-0.8678,Hambleden,?Domestic shrine,Buckinghamshire,FALSE,Cocks 1921: 195,53,-,37,"Probably from a domestic shrine. Found in 3rd house, S of E furnace, 3ft below surface, 1ft below wall top",Cast,4th cent. AD,"Incomplete. The sides of the bell slope from the lip to a sharp, angular shoulder, with a rounded boss on this step. No suspension loop, but in the crown there are the remains of at least two (possibly three) holes which would have held it.  Iron residue "
268,Roman,Conical,-,Rural,FALSE,FALSE,Cu alloy,FALSE,54.04756,-2.15197,Hanlith,PAS,North Yorkshire,FALSE,PAS: LVPL-A9A335,27,-,30,-,Cast,-,Incomplete. Conical bell with a mouth that is circular in plan. The rim is worn and broken in places. The suspension loop is broken and the clapper is missing.
165,Roman,Conical,Circular,Rural,TRUE,FALSE,Cu alloy,FALSE,55.336,-2.106,Harbottle,PAS,Northumberland,TRUE,PAS: NCL-0BCA96,28.84,-,33.24,-,Cast,-,"Conical bell with a worn, circular suspension loop with a circular aperture. There are two simple solid lines for decoration, one approximately 2mm from the loop at the apex of the cone, and the other approximately 3mm from the opening of the bell at the "
162,Roman,Tulip,Pentagonal,Rural,TRUE,FALSE,Cu alloy,TRUE,52.138,0.081,Harston,PAS,Cambridgeshire,FALSE,PAS: ESS-2F8C83,71.12,49.4,129.04,-,Cast,-,"The top of the bell is domed, and the sides are slighlty concave, flaring outwards at the mouth. It has a circular cross-section at the apex, changing to oval at the base. There is an integrally cast trapezoid / hexagonal suspension loop at the apex of th"
154,Roman,Shouldered,Squared,Rural,TRUE,FALSE,Cu alloy,FALSE,51.089235,-1.306349,Headbourne Worthy,PAS,Hampshire,TRUE,PAS: HAMP-51B687,19.15,-,22.15,-,Cast,-,"The body of the bell is conical, with convex sides and a damaged suspension loop and base. This latter has a loss extending to around half of the base, with a sliver taken out of the zone above the base at one side. Where it survives the base is flat to a"
136,?Roman,Conical,Circular,Rural,TRUE,FALSE,Cu alloy,FALSE,52.802,1.134,Heydon,PAS,Norfolk,TRUE,PAS: BH-F352F7,30.5,-,35.7,-,Cast,-,"Incomplete bell of probable Roman date. The bell takes the form of a now-damaged cone, tapering towards the top, where there is a worn, circular suspension loop with a moulded collar at its base. A moulded ring also extends around the bell, located a few "
188,?Early Medieval,Conical,Squared,Rural,TRUE,FALSE,Cu alloy,FALSE,53.5122,-0.5209,Hibaldstow,PAS,Lincolnshire,FALSE,PAS: NLM-1BC027,23.6,-,27.3,-,Cast,-,Cast conical open bell bearing a collared apical lug with an aperture of diameter 2.2mm for suspension. The mouth of the bell is slightly thickened.  The brown tint of the metal also resembles that of Early Medieval finds from the area.
254,Roman - Medieval,Quadrangular,Squared,Rural,TRUE,TRUE,Cu alloy,FALSE,53.5122,-0.5209,Hibaldstow,PAS,Lincolnshire,FALSE,PAS: NLM-6BEDF1,40.7,28.5,41.9,-,Cast,-,"Four-sided bell, with a mouth which is rectangular in plan.  It has a ?squared suspension loop set perpendicular, which has a circular aperture. At the corners of the bell are four small semi-circular protrusions, forming four feet. No clapper recorded."
176,Roman - Medieval,Domed,Circular,Rural,TRUE,FALSE,Cu alloy,TRUE,52.5413,-1.3725,Hinckley,PAS,Leicestershire,FALSE,PAS: LEIC-C4CF88,34,-,34,-,Cast,-,"Slightly elongated hemisphere which is plain and has thick walls. It has an integral rectangular sectioned, circular loop, with a circular aperture. The centre of its inside retains traces of an iron clapper and the bell gives a good tone when struck. The"
246,Roman,Quadrangular,Circular,Rural,TRUE,FALSE,Cu alloy,FALSE,52.88664,0.948,Hindringham,PAS,Norfolk,FALSE,PAS: NMS-324536,24,-,34,-,-,-,"Quadrangular bell, missing its clapper but otherwise complete and in excellent condition. Four-sided, with a mouth which is square/ rectangular in plan. The suspension loop is circular with a circular aperture. The surface of the bell has oblique file mar"
258,Roman,Crotal,Hook,Rural,TRUE,FALSE,Cu alloy,TRUE,52.049,-0.199,Hinxworth,PAS,Hertfordshire,FALSE,PAS: BH-E057E1,26.7,-,20.7,-,Cast,-,"Incomplete. Crudely cast, hemispherical, hollow bell of probable Roman date. The walls of the bell are thick (up to 3.5mm) and are heavily encrusted on the inside. The bottom edge of the bell is rough in appearance due to the presence of a number of decor"
98,Roman,Domed and Lipped,Circular,Military,TRUE,FALSE,Cu alloy,FALSE,50.8951,-2.2052,Hod Hill,Fort,Dorset,FALSE,"Brailsford 1962: 2, Fig. 2.A33",-,-,34,-,Cast,Site: AD 43-50,Domed bell with a flared lip. Circular suspension loop with a circular aperture. No clapper recorded. Interpreted as being part of a harness.
151,Roman,Shouldered,Unclear,Rural,TRUE,FALSE,Cu alloy,FALSE,51.738,-1.174,Horspath,PAS,Oxfordshire,FALSE,PAS: BERK-9E0210,32.79,-,38.41,-,Cast,-,"Incomplete - a large section of the body is missing, about 2/3 survives. The bell is roughly conical in shape and has a flared outer rim at its base; the apex of the bell has a trefoil-shaped suspension loop that runs into a fluted stem that forms the sho"
222,Roman - Post Medieval,Domed,Pentagonal,Rural,TRUE,FALSE,Cu alloy,FALSE,51.27749,-1.451262,Hurstbourne Tarrant,PAS,Hampshire,TRUE,PAS: WILT-3610A9,23.1,-,26.37,-,-,-,"Incomplete, around half the bell is missing. The suspension loop is pentagonal in profile and sub-rectangular in cross-section. The bell is broadly conical and expands from 7.3mm at the loop to 24.50mm at the base, but is slightly domed. The clapper is mi"
